
A T O M   T Y P E S

IDX	TYPE	RING
 9440    353.80480    353.80493
 9450    353.80428    353.80429
 9460    353.80415    353.80417
 9470    353.80400    353.80402
 9480    353.80380    353.80383
 9490    353.80347    353.80351
 9500    353.80253    353.80272
 9510    353.80056    353.80057
 9520    353.80044    353.80045
 9530    353.80032    353.80033
 9540    353.80018    353.80020
 9550    353.80000    353.80002
 9560    353.79966    353.79971
 9570    353.79853    353.79879
 9580    353.79695    353.79696
 9590    353.79684    353.79686
 9600    353.79672    353.79674
 9610    353.79656    353.79658
 9620    353.79625    353.79630
 9630    353.79513    353.79541
    STEEPEST DESCENT HAS CONVERGED
1 molecule converted
