
A T O M   T Y P E S

IDX	TYPE	RING
 1800    367.15124    367.15562
 1810    367.10728    367.11170
 1820    367.06299    367.06744
 1830    367.01832    367.02281
 1840    366.97327    366.97780
 1850    366.92779    366.93236
 1860    366.88185    366.88647
 1870    366.83543    366.84010
 1880    366.78848    366.79320
 1890    366.74096    366.74574
 1900    366.69282    366.69767
 1910    366.64403    366.64895
 1920    366.59453    366.59952
 1930    366.54425    366.54932
 1940    366.49313    366.49829
 1950    366.44112    366.44637
 1960    366.38811    366.39347
 1970    366.33404    366.33950
 1980    366.27879    366.28438
 1990    366.22227    366.22799
 2000    366.16434    366.17021
 2010    366.10487    366.11090
 2020    366.04480    366.05048
 2030    366.00438    366.00767
 2040    365.97162    365.97491
 2050    365.93865    365.94197
 2060    365.90544    365.90877
 2070    365.87195    365.87531
 2080    365.83818    365.84157
 2090    365.80410    365.80753
 2100    365.76970    365.77316
 2110    365.73496    365.73845
 2120    365.69985    365.70338
 2130    365.66435    365.66792
 2140    365.62842    365.63204
 2150    365.59206    365.59572
 2160    365.55521    365.55892
 2170    365.51785    365.52161
 2180    365.47994    365.48376
 2190    365.44144    365.44532
 2200    365.40231    365.40625
 2210    365.36249    365.36651
 2220    365.32194    365.32604
 2230    365.28059    365.28477
 2240    365.23839    365.24266
 2250    365.19525    365.19962
 2260    365.15110    365.15557
 2270    365.10584    365.11043
 2280    365.05937    365.06409
 2290    365.01158    365.01643
 2300    364.96233    364.96733
 2310    364.91147    364.91664
 2320    364.85881    364.86418
 2330    364.80417    364.80975
 2340    364.74729    364.75311
 2350    364.68793    364.69399
 2360    364.63644    364.63964
 2370    364.60771    364.61055
 2380    364.57911    364.58199
 2390    364.55016    364.55307
 2400    364.52082    364.52378
 2410    364.49107    364.49407
 2420    364.46089    364.46393
 2430    364.43024    364.43333
 2440    364.39909    364.40223
 2450    364.36740    364.37060
 2460    364.33514    364.33840
 2470    364.30225    364.30557
 2480    364.26869    364.27209
 2490    364.23441    364.23788
 2500    364.19935    364.20290
 2510    364.16344    364.16707
 2520    364.12660    364.13033
 2530    364.08875    364.09259
 2540    364.04980    364.05376
 2550    364.00964    364.01372
 2560    363.96814    363.97237
 2570    363.92517    363.92955
 2580    363.88057    363.88512
 2590    363.83413    363.83888
 2600    363.78565    363.79061
 2610    363.73485    363.74006
 2620    363.68142    363.68691
 2630    363.62497    363.63079
 2640    363.56505    363.57124
 2650    363.50814    363.51165
 2660    363.48144    363.48402
 2670    363.45548    363.45810
 2680    363.42908    363.43174
 2690    363.40219    363.40491
 2700    363.37480    363.37756
 2710    363.34684    363.34967
 2720    363.31829    363.32118
 2730    363.28909    363.29204
 2740    363.25918    363.26221
 2750    363.22850    363.23161
 2760    363.19698    363.20018
 2770    363.16455    363.16785
 2780    363.13112    363.13452
 2790    363.09658    363.10010
 2800    363.06082    363.06447
 2810    363.02371    363.02750
 2820    362.98510    362.98904
 2830    362.94480    362.94892
 2840    362.90260    362.90692
 2850    362.85825    362.86281
 2860    362.81146    362.81628
 2870    362.76186    362.76697
 2880    362.70899    362.71446
 2890    362.65230    362.65819
 2900    362.59117    362.59748
 2910    362.55025    362.55263
 2920    362.52645    362.52885
 2930    362.50218    362.50463
 2940    362.47739    362.47990
 2950    362.45204    362.45461
 2960    362.42607    362.42871
 2970    362.39944    362.40214
 2980    362.37207    362.37485
 2990    362.34390    362.34677
 3000    362.31485    362.31780
 3010    362.28482    362.28788
 3020    362.25371    362.25688
 3030    362.22140    362.22470
 3040    362.18775    362.19119
 3050    362.15260    362.15620
 3060    362.11575    362.11953
 3070    362.07698    362.08097
 3080    362.03602    362.04024
 3090    361.99254    361.99703
 3100    361.94612    361.95093
 3110    361.89626    361.90145
 3120    361.84232    361.84795
 3130    361.78346    361.78963
 3140    361.71972    361.72569
 3150    361.69058    361.69279
 3160    361.66826    361.67052
 3170    361.64543    361.64774
 3180    361.62202    361.62440
 3190    361.59800    361.60044
 3200    361.57328    361.57579
 3210    361.54780    361.55039
 3220    361.52148    361.52416
 3230    361.49421    361.49699
 3240    361.46591    361.46880
 3250    361.43643    361.43945
 3260    361.40564    361.40880
 3270    361.37336    361.37668
 3280    361.33940    361.34289
 3290    361.30350    361.30720
 3300    361.26538    361.26932
 3310    361.22466    361.22888
 3320    361.18092    361.18547
 3330    361.13356    361.13850
 3340    361.08186    361.08729
 3350    361.02485    361.03087
 3360    360.96135    360.96799
 3370    360.92465    360.92674
 3380    360.90357    360.90571
 3390    360.88195    360.88414
 3400    360.85972    360.86198
 3410    360.83681    360.83914
 3420    360.81315    360.81556
 3430    360.78865    360.79115
 3440    360.76321    360.76581
 3450    360.73670    360.73941
 3460    360.70899    360.71183
 3470    360.67992    360.68290
 3480    360.64929    360.65244
 3490    360.61688    360.62022
 3500    360.58239    360.58596
 3510    360.54549    360.54932
 3520    360.50574    360.50988
 3530    360.46259    360.46710
 3540    360.41532    360.42028
 3550    360.36298    360.36851
 3560    360.30427    360.31052
 3570    360.24440    360.24759
 3580    360.22370    360.22568
 3590    360.20367    360.20570
